repair_id,asset_id,asset_type,component,defect_type,severity_before_repair,repair_method,repair_description,materials_used,equipment_used,crew_size,planned_duration_hours,actual_duration_hours,planned_cost,actual_cost,traffic_disruption_level,closure_type,weather_condition,permit_required,repair_outcome,recurrence_within_12_months,post_repair_inspection_notes,date_completed,rag_text
HIST-BRIDGE-001,BR-042,bridge,expansion_joint,spalling,medium,partial-depth concrete patch,Addressed medium-severity spalling on bridge component using partial-depth concrete patch. Work area was documented before and after repair.,patching concrete; corrosion inhibitor; bonding agent,saw cutter; chipping hammer; traffic barriers,3,6,5,4500,4725,low,shoulder closure,clear,no,successful,false,Patch stable after follow-up inspection.,2025-02-01,"A 2025 repair on bridge BR-042 addressed medium-severity spalling at the expansion_joint. The crew used partial-depth concrete patch. Work required a 3-person crew, shoulder closure, and 5 actual hours. Outcome was successful; recurrence within 12 months was false."
HIST-BRIDGE-002,BR-017,bridge,deck,crack,high,routing and sealing,Addressed high-severity crack on bridge component using routing and sealing. Work area was documented before and after repair.,flexible sealant; primer,router; compressed air; sealant gun,4,9,9,9300,10137,medium,overnight partial closure,light rain,yes,successful with monitoring,false,Patch stable after follow-up inspection.,2025-02-12,"A 2025 repair on bridge BR-017 addressed high-severity crack at the deck. The crew used routing and sealing. Work required a 4-person crew, overnight partial closure, and 9 actual hours. Outcome was successful with monitoring; recurrence within 12 months was false."
HIST-BRIDGE-003,BR-088,bridge,girder,corrosion,low,abrasive cleaning and protective coating,Addressed low-severity corrosion on bridge component using abrasive cleaning and protective coating. Work area was documented before and after repair.,zinc primer; epoxy coating,needle scaler; containment tarp; sprayer,5,12,13,8100,9153,high,single-lane closure,hot and dry,yes,temporary repair,false,Patch stable after follow-up inspection.,2025-02-23,"A 2025 repair on bridge BR-088 addressed low-severity corrosion at the girder. The crew used abrasive cleaning and protective coating. Work required a 5-person crew, single-lane closure, and 13 actual hours. Outcome was temporary repair; recurrence within 12 months was false."
HIST-BRIDGE-004,BR-031,bridge,parapet,exposed_rebar,medium,rebar cleaning and concrete restoration,Addressed medium-severity exposed_rebar on bridge component using rebar cleaning and concrete restoration. Work area was documented before and after repair.,repair mortar; corrosion inhibitor; bonding agent,chipping hammer; wire brush; forms,6,15,17,9900,11583,low,short full closure,cold,yes,requires follow-up,false,Patch stable after follow-up inspection.,2025-03-06,"A 2025 repair on bridge BR-031 addressed medium-severity exposed_rebar at the parapet. The crew used rebar cleaning and concrete restoration. Work required a 6-person crew, short full closure, and 17 actual hours. Outcome was requires follow-up; recurrence within 12 months was false."
HIST-BRIDGE-005,BR-064,bridge,pier_cap,joint_damage,high,joint seal replacement,Addressed high-severity joint_damage on bridge component using joint seal replacement. Work area was documented before and after repair.,joint seal; patch mortar; backer rod,joint saw; compressor; traffic barriers,3,18,21,14700,15435,medium,shoulder closure,windy,no,successful,false,Patch stable after follow-up inspection.,2025-03-17,"A 2025 repair on bridge BR-064 addressed high-severity joint_damage at the pier_cap. The crew used joint seal replacement. Work required a 3-person crew, shoulder closure, and 21 actual hours. Outcome was successful; recurrence within 12 months was false."
HIST-BRIDGE-006,BR-019,bridge,bearing_area,water_leak,low,drainage cleaning and leak sealing,Addressed low-severity water_leak on bridge component using drainage cleaning and leak sealing. Work area was documented before and after repair.,joint sealant; drain screens; waterproofing compound,vacuum truck; sealant gun; lift,4,21,20,13500,14715,high,overnight partial closure,humid,yes,successful with monitoring,false,Patch stable after follow-up inspection.,2025-03-28,"A 2025 repair on bridge BR-019 addressed low-severity water_leak at the bearing_area. The crew used drainage cleaning and leak sealing. Work required a 4-person crew, overnight partial closure, and 20 actual hours. Outcome was successful with monitoring; recurrence within 12 months was false."
HIST-BRIDGE-007,BR-055,bridge,sidewalk,spalling,medium,partial-depth concrete patch,Addressed medium-severity spalling on bridge component using partial-depth concrete patch. Work area was documented before and after repair.,patching concrete; corrosion inhibitor; bonding agent,saw cutter; chipping hammer; traffic barriers,5,6,6,15300,17289,low,single-lane closure,clear,yes,temporary repair,false,Patch stable after follow-up inspection.,2025-04-08,"A 2025 repair on bridge BR-055 addressed medium-severity spalling at the sidewalk. The crew used partial-depth concrete patch. Work required a 5-person crew, single-lane closure, and 6 actual hours. Outcome was temporary repair; recurrence within 12 months was false."
HIST-BRIDGE-008,BR-026,bridge,expansion_joint,crack,high,routing and sealing,Addressed high-severity crack on bridge component using routing and sealing. Work area was documented before and after repair.,flexible sealant; primer,router; compressed air; sealant gun,6,9,10,20100,23517,medium,short full closure,light rain,yes,requires follow-up,true,Minor recurrence observed near edge of previous repair; follow-up recommended.,2025-04-19,"A 2025 repair on bridge BR-026 addressed high-severity crack at the expansion_joint. The crew used routing and sealing. Work required a 6-person crew, short full closure, and 10 actual hours. Outcome was requires follow-up; recurrence within 12 months was true."
HIST-BRIDGE-009,BR-073,bridge,deck,corrosion,low,abrasive cleaning and protective coating,Addressed low-severity corrosion on bridge component using abrasive cleaning and protective coating. Work area was documented before and after repair.,zinc primer; epoxy coating,needle scaler; containment tarp; sprayer,3,12,14,4500,4725,high,shoulder closure,hot and dry,no,successful,false,Patch stable after follow-up inspection.,2025-04-30,"A 2025 repair on bridge BR-073 addressed low-severity corrosion at the deck. The crew used abrasive cleaning and protective coating. Work required a 3-person crew, shoulder closure, and 14 actual hours. Outcome was successful; recurrence within 12 months was false."
HIST-BRIDGE-010,BR-091,bridge,girder,exposed_rebar,medium,rebar cleaning and concrete restoration,Addressed medium-severity exposed_rebar on bridge component using rebar cleaning and concrete restoration. Work area was documented before and after repair.,repair mortar; corrosion inhibitor; bonding agent,chipping hammer; wire brush; forms,4,15,18,6300,6867,low,overnight partial closure,cold,yes,successful with monitoring,false,Patch stable after follow-up inspection.,2025-05-11,"A 2025 repair on bridge BR-091 addressed medium-severity exposed_rebar at the girder. The crew used rebar cleaning and concrete restoration. Work required a 4-person crew, overnight partial closure, and 18 actual hours. Outcome was successful with monitoring; recurrence within 12 months was false."
HIST-BRIDGE-011,BR-042,bridge,parapet,joint_damage,high,joint seal replacement,Addressed high-severity joint_damage on bridge component using joint seal replacement. Work area was documented before and after repair.,joint seal; patch mortar; backer rod,joint saw; compressor; traffic barriers,5,18,17,11100,12543,medium,single-lane closure,windy,yes,temporary repair,false,Patch stable after follow-up inspection.,2025-05-22,"A 2025 repair on bridge BR-042 addressed high-severity joint_damage at the parapet. The crew used joint seal replacement. Work required a 5-person crew, single-lane closure, and 17 actual hours. Outcome was temporary repair; recurrence within 12 months was false."
HIST-BRIDGE-012,BR-017,bridge,pier_cap,water_leak,low,drainage cleaning and leak sealing,Addressed low-severity water_leak on bridge component using drainage cleaning and leak sealing. Work area was documented before and after repair.,joint sealant; drain screens; waterproofing compound,vacuum truck; sealant gun; lift,6,21,21,9900,11583,high,short full closure,humid,yes,requires follow-up,false,Patch stable after follow-up inspection.,2025-06-02,"A 2025 repair on bridge BR-017 addressed low-severity water_leak at the pier_cap. The crew used drainage cleaning and leak sealing. Work required a 6-person crew, short full closure, and 21 actual hours. Outcome was requires follow-up; recurrence within 12 months was false."
HIST-BRIDGE-013,BR-088,bridge,bearing_area,spalling,medium,partial-depth concrete patch,Addressed medium-severity spalling on bridge component using partial-depth concrete patch. Work area was documented before and after repair.,patching concrete; corrosion inhibitor; bonding agent,saw cutter; chipping hammer; traffic barriers,3,6,7,11700,12285,low,shoulder closure,clear,no,successful,false,Patch stable after follow-up inspection.,2025-06-13,"A 2025 repair on bridge BR-088 addressed medium-severity spalling at the bearing_area. The crew used partial-depth concrete patch. Work required a 3-person crew, shoulder closure, and 7 actual hours. Outcome was successful; recurrence within 12 months was false."
HIST-BRIDGE-014,BR-031,bridge,sidewalk,crack,high,routing and sealing,Addressed high-severity crack on bridge component using routing and sealing. Work area was documented before and after repair.,flexible sealant; primer,router; compressed air; sealant gun,4,9,11,16500,17985,medium,overnight partial closure,light rain,yes,successful with monitoring,false,Patch stable after follow-up inspection.,2025-06-24,"A 2025 repair on bridge BR-031 addressed high-severity crack at the sidewalk. The crew used routing and sealing. Work required a 4-person crew, overnight partial closure, and 11 actual hours. Outcome was successful with monitoring; recurrence within 12 months was false."
HIST-BRIDGE-015,BR-064,bridge,expansion_joint,corrosion,low,abrasive cleaning and protective coating,Addressed low-severity corrosion on bridge component using abrasive cleaning and protective coating. Work area was documented before and after repair.,zinc primer; epoxy coating,needle scaler; containment tarp; sprayer,5,12,15,15300,17289,high,single-lane closure,hot and dry,yes,temporary repair,false,Patch stable after follow-up inspection.,2025-07-05,"A 2025 repair on bridge BR-064 addressed low-severity corrosion at the expansion_joint. The crew used abrasive cleaning and protective coating. Work required a 5-person crew, single-lane closure, and 15 actual hours. Outcome was temporary repair; recurrence within 12 months was false."
HIST-BRIDGE-016,BR-019,bridge,deck,exposed_rebar,medium,rebar cleaning and concrete restoration,Addressed medium-severity exposed_rebar on bridge component using rebar cleaning and concrete restoration. Work area was documented before and after repair.,repair mortar; corrosion inhibitor; bonding agent,chipping hammer; wire brush; forms,6,15,14,17100,20007,low,short full closure,cold,yes,requires follow-up,false,Patch stable after follow-up inspection.,2025-07-16,"A 2025 repair on bridge BR-019 addressed medium-severity exposed_rebar at the deck. The crew used rebar cleaning and concrete restoration. Work required a 6-person crew, short full closure, and 14 actual hours. Outcome was requires follow-up; recurrence within 12 months was false."
HIST-BRIDGE-017,BR-055,bridge,girder,joint_damage,high,joint seal replacement,Addressed high-severity joint_damage on bridge component using joint seal replacement. Work area was documented before and after repair.,joint seal; patch mortar; backer rod,joint saw; compressor; traffic barriers,3,18,18,7500,7875,medium,shoulder closure,windy,no,successful,false,Patch stable after follow-up inspection.,2025-07-27,"A 2025 repair on bridge BR-055 addressed high-severity joint_damage at the girder. The crew used joint seal replacement. Work required a 3-person crew, shoulder closure, and 18 actual hours. Outcome was successful; recurrence within 12 months was false."
HIST-BRIDGE-018,BR-026,bridge,parapet,water_leak,low,drainage cleaning and leak sealing,Addressed low-severity water_leak on bridge component using drainage cleaning and leak sealing. Work area was documented before and after repair.,joint sealant; drain screens; waterproofing compound,vacuum truck; sealant gun; lift,4,21,22,6300,6867,high,overnight partial closure,humid,yes,successful with monitoring,false,Patch stable after follow-up inspection.,2025-08-07,"A 2025 repair on bridge BR-026 addressed low-severity water_leak at the parapet. The crew used drainage cleaning and leak sealing. Work required a 4-person crew, overnight partial closure, and 22 actual hours. Outcome was successful with monitoring; recurrence within 12 months was false."
HIST-BRIDGE-019,BR-073,bridge,pier_cap,spalling,medium,partial-depth concrete patch,Addressed medium-severity spalling on bridge component using partial-depth concrete patch. Work area was documented before and after repair.,patching concrete; corrosion inhibitor; bonding agent,saw cutter; chipping hammer; traffic barriers,5,6,8,8100,9153,low,single-lane closure,clear,yes,temporary repair,true,Minor recurrence observed near edge of previous repair; follow-up recommended.,2025-08-18,"A 2025 repair on bridge BR-073 addressed medium-severity spalling at the pier_cap. The crew used partial-depth concrete patch. Work required a 5-person crew, single-lane closure, and 8 actual hours. Outcome was temporary repair; recurrence within 12 months was true."
HIST-BRIDGE-020,BR-091,bridge,bearing_area,crack,high,routing and sealing,Addressed high-severity crack on bridge component using routing and sealing. Work area was documented before and after repair.,flexible sealant; primer,router; compressed air; sealant gun,6,9,12,12900,15092,medium,short full closure,light rain,yes,requires follow-up,false,Patch stable after follow-up inspection.,2025-08-29,"A 2025 repair on bridge BR-091 addressed high-severity crack at the bearing_area. The crew used routing and sealing. Work required a 6-person crew, short full closure, and 12 actual hours. Outcome was requires follow-up; recurrence within 12 months was false."
HIST-BRIDGE-021,BR-042,bridge,sidewalk,corrosion,low,abrasive cleaning and protective coating,Addressed low-severity corrosion on bridge component using abrasive cleaning and protective coating. Work area was documented before and after repair.,zinc primer; epoxy coating,needle scaler; containment tarp; sprayer,3,12,11,11700,12285,high,shoulder closure,hot and dry,no,successful,false,Patch stable after follow-up inspection.,2025-09-09,"A 2025 repair on bridge BR-042 addressed low-severity corrosion at the sidewalk. The crew used abrasive cleaning and protective coating. Work required a 3-person crew, shoulder closure, and 11 actual hours. Outcome was successful; recurrence within 12 months was false."
HIST-BRIDGE-022,BR-017,bridge,expansion_joint,exposed_rebar,medium,rebar cleaning and concrete restoration,Addressed medium-severity exposed_rebar on bridge component using rebar cleaning and concrete restoration. Work area was documented before and after repair.,repair mortar; corrosion inhibitor; bonding agent,chipping hammer; wire brush; forms,4,15,15,13500,14715,low,overnight partial closure,cold,yes,successful with monitoring,false,Patch stable after follow-up inspection.,2025-09-20,"A 2025 repair on bridge BR-017 addressed medium-severity exposed_rebar at the expansion_joint. The crew used rebar cleaning and concrete restoration. Work required a 4-person crew, overnight partial closure, and 15 actual hours. Outcome was successful with monitoring; recurrence within 12 months was false."
HIST-BRIDGE-023,BR-088,bridge,deck,joint_damage,high,joint seal replacement,Addressed high-severity joint_damage on bridge component using joint seal replacement. Work area was documented before and after repair.,joint seal; patch mortar; backer rod,joint saw; compressor; traffic barriers,5,18,19,18300,20679,medium,single-lane closure,windy,yes,temporary repair,false,Patch stable after follow-up inspection.,2025-10-01,"A 2025 repair on bridge BR-088 addressed high-severity joint_damage at the deck. The crew used joint seal replacement. Work required a 5-person crew, single-lane closure, and 19 actual hours. Outcome was temporary repair; recurrence within 12 months was false."
HIST-BRIDGE-024,BR-031,bridge,girder,water_leak,low,drainage cleaning and leak sealing,Addressed low-severity water_leak on bridge component using drainage cleaning and leak sealing. Work area was documented before and after repair.,joint sealant; drain screens; waterproofing compound,vacuum truck; sealant gun; lift,6,21,23,17100,20007,high,short full closure,humid,yes,requires follow-up,false,Patch stable after follow-up inspection.,2025-10-12,"A 2025 repair on bridge BR-031 addressed low-severity water_leak at the girder. The crew used drainage cleaning and leak sealing. Work required a 6-person crew, short full closure, and 23 actual hours. Outcome was requires follow-up; recurrence within 12 months was false."
HIST-BRIDGE-025,BR-064,bridge,parapet,spalling,medium,partial-depth concrete patch,Addressed medium-severity spalling on bridge component using partial-depth concrete patch. Work area was documented before and after repair.,patching concrete; corrosion inhibitor; bonding agent,saw cutter; chipping hammer; traffic barriers,3,6,9,4500,4725,low,shoulder closure,clear,no,successful,true,Minor recurrence observed near edge of previous repair; follow-up recommended.,2025-10-23,"A 2025 repair on bridge BR-064 addressed medium-severity spalling at the parapet. The crew used partial-depth concrete patch. Work required a 3-person crew, shoulder closure, and 9 actual hours. Outcome was successful; recurrence within 12 months was true."
HIST-BRIDGE-026,BR-019,bridge,pier_cap,crack,high,routing and sealing,Addressed high-severity crack on bridge component using routing and sealing. Work area was documented before and after repair.,flexible sealant; primer,router; compressed air; sealant gun,4,9,8,9300,10137,medium,overnight partial closure,light rain,yes,successful with monitoring,false,Patch stable after follow-up inspection.,2025-11-03,"A 2025 repair on bridge BR-019 addressed high-severity crack at the pier_cap. The crew used routing and sealing. Work required a 4-person crew, overnight partial closure, and 8 actual hours. Outcome was successful with monitoring; recurrence within 12 months was false."
HIST-BRIDGE-027,BR-055,bridge,bearing_area,corrosion,low,abrasive cleaning and protective coating,Addressed low-severity corrosion on bridge component using abrasive cleaning and protective coating. Work area was documented before and after repair.,zinc primer; epoxy coating,needle scaler; containment tarp; sprayer,5,12,12,8100,9153,high,single-lane closure,hot and dry,yes,temporary repair,false,Patch stable after follow-up inspection.,2025-11-14,"A 2025 repair on bridge BR-055 addressed low-severity corrosion at the bearing_area. The crew used abrasive cleaning and protective coating. Work required a 5-person crew, single-lane closure, and 12 actual hours. Outcome was temporary repair; recurrence within 12 months was false."
HIST-BRIDGE-028,BR-026,bridge,sidewalk,exposed_rebar,medium,rebar cleaning and concrete restoration,Addressed medium-severity exposed_rebar on bridge component using rebar cleaning and concrete restoration. Work area was documented before and after repair.,repair mortar; corrosion inhibitor; bonding agent,chipping hammer; wire brush; forms,6,15,16,9900,11583,low,short full closure,cold,yes,requires follow-up,false,Patch stable after follow-up inspection.,2025-11-25,"A 2025 repair on bridge BR-026 addressed medium-severity exposed_rebar at the sidewalk. The crew used rebar cleaning and concrete restoration. Work required a 6-person crew, short full closure, and 16 actual hours. Outcome was requires follow-up; recurrence within 12 months was false."
HIST-BRIDGE-029,BR-073,bridge,expansion_joint,joint_damage,high,joint seal replacement,Addressed high-severity joint_damage on bridge component using joint seal replacement. Work area was documented before and after repair.,joint seal; patch mortar; backer rod,joint saw; compressor; traffic barriers,3,18,20,14700,15435,medium,shoulder closure,windy,no,successful,false,Patch stable after follow-up inspection.,2025-12-06,"A 2025 repair on bridge BR-073 addressed high-severity joint_damage at the expansion_joint. The crew used joint seal replacement. Work required a 3-person crew, shoulder closure, and 20 actual hours. Outcome was successful; recurrence within 12 months was false."
HIST-BRIDGE-030,BR-091,bridge,deck,water_leak,low,drainage cleaning and leak sealing,Addressed low-severity water_leak on bridge component using drainage cleaning and leak sealing. Work area was documented before and after repair.,joint sealant; drain screens; waterproofing compound,vacuum truck; sealant gun; lift,4,21,24,13500,14715,high,overnight partial closure,humid,yes,successful with monitoring,false,Patch stable after follow-up inspection.,2025-12-17,"A 2025 repair on bridge BR-091 addressed low-severity water_leak at the deck. The crew used drainage cleaning and leak sealing. Work required a 4-person crew, overnight partial closure, and 24 actual hours. Outcome was successful with monitoring; recurrence within 12 months was false."
